District,StreetBlock,LATITUDE_X,LONGITUDE_X,SNA_NEIGHBORHOOD,ShootID,RMS_No,Race,Sex,Age,Type,YearOccurred,DateOccurred,TimeOccurred,DateTimeOccured,COMMUNITY_COUNCIL_NEIGHBORHOOD
4,3400 Block of BURNET AV,39.1445,-84.4997,Avondale,6977,2025-INC-002075,BLACK,MALE,41,NONFATAL,2025,20250203,194400,2/3/2025 7:44:00 PM,Avondale
4,1200 Block of CALIFORNIA AV,39.1754,-84.4776,Bond Hill,6975,2025-INC-001928,BLACK,MALE,42,NONFATAL,2025,20250202,012000,2/2/2025 1:20:00 AM,Bond Hill
3,2300 Block of HARRISON AV,39.1376,-84.5786,Westwood,6974,2025-INC-001853,BLACK,MALE,33,NONFATAL,2025,20250131,224200,1/31/2025 10:42:00 PM,Westwood
3,2600 Block of W 8TH ST,39.1056,-84.5561,East Price Hill,6973,2025-INC-001771,HISPANIC,MALE,19,NONFATAL,2025,20250130,210700,1/30/2025 9:07:00 PM,East Price Hill
1,00 Block of GREEN ST,39.1137,-84.5182,Over-the-Rhine,6972,2025-INC-001711,BLACK,MALE,28,FATAL,2025,20250129,230000,1/29/2025 11:00:00 PM,OTR
3,1900 Block of WESTWOOD NORTHERN BLVD,39.1436,-84.5581,Millvale,6971,2025-INC-001392,BLACK,MALE,38,NONFATAL,2025,20250125,022600,1/25/2025 2:26:00 AM,Millvale
3,3200 Block of MCHENRY AV,39.1451,-84.5731,Westwood,6970,2025-INC-001317,BLACK,MALE,21,FATAL,2025,20250123,193400,1/23/2025 7:34:00 PM,Westwood
3,900 Block of SEIBEL LN,39.1131,-84.6069,West Price Hill,6968,2025-INC-001210,BLACK,MALE,18,FATAL,2025,20250121,210200,1/21/2025 9:02:00 PM,West Price Hill
3,900 Block of SEIBEL LN,39.1123,-84.6082,West Price Hill,6969,2025-INC-001210,BLACK,MALE,21,NONFATAL,2025,20250121,210200,1/21/2025 9:02:00 PM,West Price Hill
3,1600 Block of POWERS ST,39.1577,-84.5437,Northside,6966,2025-INC-000505,BLACK,FEMALE,24,NONFATAL,2025,20250109,235200,1/9/2025 11:52:00 PM,Northside
4,800 Block of LEXINGTON AV,39.1462,-84.4886,Avondale,6965,2025-INC-000309,BLACK,MALE,27,FATAL,2025,20250105,113600,1/5/2025 11:36:00 AM,Avondale
3,3100 Block of W LIBERTY ST,39.1165,-84.5624,East Price Hill,6964,2025-INC-000286,BLACK,MALE,20,FATAL,2025,20250104,211500,1/4/2025 9:15:00 PM,East Price Hill
3,900 Block of ENRIGHT AV,39.1082,-84.5731,East Price Hill,6963,2025-INC-000212,BLACK,MALE,27,NONFATAL,2025,20250103,172700,1/3/2025 5:27:00 PM,East Price Hill
3,1200 Block of SLIKER AV,39.115,-84.584,West Price Hill,6960,2025-INC-000128,HISPANIC,MALE,26,NONFATAL,2025,20250102,125000,1/2/2025 12:50:00 PM,West Price Hill
3,4400 Block of GUERLEY RD,39.1198,-84.5864,West Price Hill,6962,2025-INC-000170,BLACK,MALE,33,FATAL,2025,20250102,224800,1/2/2025 10:48:00 PM,West Price Hill
3,4500 Block of INNES AV,39.1706,-84.5444,Northside,6957,2025-INC-000002,WHITE,MALE,39,NONFATAL,2025,20250101,000500,1/1/2025 12:05:00 AM,Northside
3,1800 Block of SUNSET AV,39.1235,-84.5821,West Price Hill,7019,2025-INC-007122,BLACK,FEMALE,0,NONFATAL,2025,20250419,230600,4/19/2025 11:06:00 PM,West Price Hill
